2025-08-03 15:19:25 | DEBUG    | app | 
##-------------------------------##
2025-08-03 15:19:25 | DEBUG    | app | Subject: Critical Issue with Website Downtime
2025-08-03 15:19:25 | DEBUG    | app | Email: Our website has been down since this morning, and customers are complaining they can’t place orders. This is urgent as we’re losing sales every hour. Please help immediately!


2025-08-03 15:19:32 | DEBUG    | app | Result: category=<Category.URGENT: 'urgent'> summary='Our website is down, preventing customers from placing orders and causing loss of sales. Immediate assistance is needed.' priority='high' query=None company=None contact_person=None product_interest=None
2025-08-03 15:19:32 | DEBUG    | app | ##-------------------------------##

2025-08-03 15:19:32 | DEBUG    | app | 
##-------------------------------##
2025-08-03 15:19:32 | DEBUG    | app | Subject: Question About Account Setup
2025-08-03 15:19:32 | DEBUG    | app | Email: Hi, I’m trying to set up my account but keep getting an error message when I try to verify my email. Can you guide me through the process?


2025-08-03 15:19:35 | DEBUG    | app | Result: category=<Category.SUPPORT_REQUEST: 'support_request'> reason='The email requests assistance with a specific issue (account setup error) without indicating urgency.'
2025-08-03 15:19:35 | DEBUG    | app | ##-------------------------------##

2025-08-03 15:19:35 | DEBUG    | app | 
##-------------------------------##
2025-08-03 15:19:35 | DEBUG    | app | Subject: Feedback on Your Recent Update
2025-08-03 15:19:35 | DEBUG    | app | Email: I noticed your platform got a new update. It looks great! Can you share more about the new features and how they benefit users?


2025-08-03 15:19:39 | DEBUG    | app | Result: category=<Category.GENERAL_INQUIRY: 'general_inquiry'> summary=None priority=None query='new update features and benefits' company=None contact_person=None product_interest=None
2025-08-03 15:19:39 | DEBUG    | app | ##-------------------------------##

2025-08-03 15:19:39 | DEBUG    | app | 
##-------------------------------##
2025-08-03 15:19:39 | DEBUG    | app | Subject: Inquiry About Your Pro Plan
2025-08-03 15:19:39 | DEBUG    | app | Email: We’re a small business looking to upgrade to your Pro Plan. Could you send me details on pricing, features, and any available demos?


2025-08-03 15:19:42 | DEBUG    | app | Result: category=<Category.SALES_LEAD: 'sales_lead'> reason='The email expresses interest in purchasing a service (Pro Plan) and requests details on pricing, features, and demos.'
2025-08-03 15:19:42 | DEBUG    | app | ##-------------------------------##

2025-08-03 15:19:42 | DEBUG    | app | 
##-------------------------------##
2025-08-03 15:19:42 | DEBUG    | app | Subject: You’ve Been Selected for a Free Vacation!
2025-08-03 15:19:42 | DEBUG    | app | Email: Congratulations! You’ve won a free vacation to Hawaii. Click the link below to claim your prize before it expires!


2025-08-03 15:19:46 | DEBUG    | app | Result: category=<Category.SPAM: 'spam'> reason='The email is unsolicited, promotional, and contains typical spam language with an enticing offer and a link.'
2025-08-03 15:19:46 | DEBUG    | app | ##-------------------------------##

